Type,Description,Protein_g,Fat_g,Carb_g,Sugar_g,Fiber_g,VitA_mcg
Poultry Products,"Turkey, all classes, wing, meat and skin, raw",20.22,12.32,0,0,0,3
Fruits and Fruit Juices,"Pears, raw, green anjou",0.44,0.1,15.79,9.73,3.1,1
Fruits and Fruit Juices,"Maraschino cherries, canned, drained",0.22,0.21,41.97,38.77,3.2,2
Poultry Products,"Chicken, stewing, meat only, cooked, stewed",30.42,11.89,0,0,0,34
Breakfast Cereals,"Cereals ready-to-eat, wheat and bran, presweetened with nuts and fruits",7.1,5.6,76.2,23.6,9.7,410
Fruits and Fruit Juices,"Pears, raw, bartlett",0.39,0.16,15.01,9.69,3.1,1
Vegetables and Vegetable Products,"Eggplant, cooked, boiled, drained, with salt",0.83,0.23,8.14,3.2,2.5,2
Vegetables and Vegetable Products,"Beans, snap, green, frozen, all styles, unprepared",1.79,0.21,7.54,2.21,2.6,27
Poultry Products,"Chicken, broilers or fryers, back, meat and skin, cooked, roasted",25.95,20.97,0,0,0,105
Fruits and Fruit Juices,"Blackberries, canned, heavy syrup, solids and liquids",1.31,0.14,23.1,19.7,3.4,11
Vegetables and Vegetable Products,"Cabbage, red, cooked, boiled, drained, without salt",1.51,0.09,6.94,3.32,2.6,2
Fruits and Fruit Juices,"Pears, raw, red anjou",0.33,0.14,14.94,9.54,3,1
Breakfast Cereals,"Cereals ready-to-eat, KASHI HEART TO HEART, Honey Toasted Oat",11.39,5,78.69,15.5,13.7,189
Breakfast Cereals,"Cereals ready-to-eat, GENERAL MILLS, CHEERIOS, Yogurt Burst, strawberry",6.67,5.23,81.75,30,6.7,750
Vegetables and Vegetable Products,"Corn, sweet, white, frozen, kernels cut off cob, boiled, drained, with salt",2.75,0.43,19.56,3.12,2.4,0
Vegetables and Vegetable Products,"Potatoes, red, flesh and skin, raw",1.89,0.14,15.9,1.29,1.7,0
Vegetables and Vegetable Products,"Corn, sweet, yellow, canned, vacuum pack, regular pack",2.41,0.5,19.44,3.56,2,4
Poultry Products,"Chicken, broilers or fryers, dark meat, thigh, meat and skin, cooked, braised",22.57,15.43,0,0,0,16
Fruits and Fruit Juices,"Apples, raw, gala, with skin",0.25,0.12,13.68,10.37,2.3,1
Fruits and Fruit Juices,"USDA Commodity pears, canned, juice pack, drained",0.34,0.19,12.91,8.27,2.2,0
Vegetables and Vegetable Products,"Peas, green, canned, regular pack, solids and liquids",3.01,0.48,10.6,3.2,3.3,76
Poultry Products,"Chicken, dark meat, thigh, meat and skin, enhanced, cooked, roasted",23.47,13.81,0.09,0,0,17
Vegetables and Vegetable Products,"Salsify, cooked, boiled, drained, without salt",2.73,0.17,15.36,2.9,3.1,0
Vegetables and Vegetable Products,"Mushrooms, shiitake, cooked, without salt",1.56,0.22,14.39,3.84,2.1,0
Vegetables and Vegetable Products,"Salsify, cooked, boiled, drained, with salt",2.73,0.17,15.36,2.9,3.1,0
Breakfast Cereals,"Cereals ready-to-eat, RALSTON Enriched Wheat Bran flakes",10.21,3.36,79.77,17.17,16.9,531
Vegetables and Vegetable Products,"Potatoes, red, flesh and skin, baked",2.3,0.15,19.59,1.43,1.8,1
Fruits and Fruit Juices,"Breadfruit, raw",1.07,0.23,27.12,11,4.9,0
Vegetables and Vegetable Products,"Okra, frozen, unprepared",1.69,0.25,6.63,2.97,2.2,18
Poultry Products,"Chicken, roasting, meat and skin, cooked, roasted",23.97,13.39,0,0,0,0
Poultry Products,"Turkey, skin, from retail parts, from dark meat, cooked, roasted",24.58,35.03,0,0,0,59
Vegetables and Vegetable Products,"Peas, edible-podded, boiled, drained, without salt",3.27,0.23,7.05,3.99,2.8,52
Breakfast Cereals,"Cereals, QUAKER, Instant Oatmeal, fruit and cream variety, dry",8.3,6.37,75.42,31.27,6,943
Vegetables and Vegetable Products,"Peas, edible-podded, raw",2.8,0.2,7.55,4,2.6,54
Poultry Products,"Chicken, broilers or fryers, skin only, cooked, roasted",20.36,40.68,0,0,0,78
Vegetables and Vegetable Products,"Peas and carrots, canned, no salt added, solids and liquids",2.17,0.27,8.48,2.83,3.3,343
Breakfast Cereals,"Cereals ready-to-eat, KELLOGG, KELLOGG'S ALL-BRAN BRAN BUDS",8.9,2.5,81,26.7,42.5,500
Vegetables and Vegetable Products,"Squash, winter, hubbard, raw",2,0.5,8.7,3.95,3.9,68
Vegetables and Vegetable Products,"Beans, snap, green, raw",1.83,0.22,6.97,3.26,2.7,35
Fruits and Fruit Juices,"Blueberries, frozen, sweetened",0.4,0.13,21.95,19.72,2.2,2
Vegetables and Vegetable Products,"Corn, sweet, white, frozen, kernels cut off cob, boiled, drained, without salt",2.75,0.43,19.56,3.12,2.4,0
Poultry Products,"Chicken, broilers or fryers, wing, meat and skin, cooked, rotisserie, original seasoning",24.34,18.77,0.04,0.04,0,26
Fruits and Fruit Juices,"Pears, raw, bosc",0.36,0.09,16.1,10.23,3.1,1
Poultry Products,"Chicken, cornish game hens, meat and skin, cooked, roasted",22.27,18.21,0,0,0,32
Vegetables and Vegetable Products,"Peas and onions, frozen, cooked, boiled, drained, without salt",2.54,0.2,8.63,3.77,2.2,53
Vegetables and Vegetable Products,"Carrots, cooked, boiled, drained, with salt",0.76,0.18,8.22,3.45,3,852
Vegetables and Vegetable Products,"Fennel, bulb, raw",1.24,0.2,7.3,3.93,3.1,48
Vegetables and Vegetable Products,"Ginger root, raw",1.82,0.75,17.77,1.7,2,0
Breakfast Cereals,"Cereals ready-to-eat, GENERAL MILLS, GOLDEN GRAHAMS",5.3,3.2,85.1,35,5.6,472
Fruits and Fruit Juices,"Apples, raw, without skin, cooked, microwave",0.28,0.42,14.41,11.61,2.8,2
Vegetables and Vegetable Products,"Mushrooms, shiitake, cooked, with salt",1.56,0.22,14.39,3.84,2.1,0
Breakfast Cereals,"Cereals ready-to-eat, GENERAL MILLS, FIBER ONE, Caramel Delight",5.8,5.8,82.69,20.79,19.1,298
Breakfast Cereals,"Cereals, oats, instant, fortified, with raisins and spice, dry",8.45,4.03,76.33,37.14,5.7,589
Breakfast Cereals,"Cereals ready-to-eat, GENERAL MILLS, BASIC 4",6.7,3.9,79.2,22.6,6.8,257
Poultry Products,"Turkey, light or dark meat, smoked, cooked, with skin, bone removed",28.1,9.7,0,0,0,0
Fruits and Fruit Juices,"Raspberries, frozen, red, sweetened",0.7,0.16,26.16,21.76,4.4,3
Vegetables and Vegetable Products,"Vegetables, mixed (corn, lima beans, peas, green beans, carrots) canned, no salt added",1.4,0.2,7.31,2.41,3.1,583
Poultry Products,"Chicken, broilers or fryers, back, meat only, cooked, stewed",25.31,11.19,0,0,0,27
Breakfast Cereals,"Cereals ready-to-eat, KELLOGG, KELLOGG'S Low Fat Granola without Raisins",8.7,5.7,80.9,28.3,7,459
Breakfast Cereals,"Cereals ready-to-eat, GENERAL MILLS, WHEATIES",8.3,2.3,83.3,15.2,10.1,554
Poultry Products,"Turkey, back, from whole bird, enhanced, meat and skin, roasted",25.8,11.36,0,0,0,22
Poultry Products,"Chicken, broilers or fryers, dark meat, meat and skin, cooked, stewed",23.5,14.66,0,0,0,56
Fruits and Fruit Juices,"Blueberries, raw",0.74,0.33,14.49,9.96,2.4,3
Breakfast Cereals,"Cereals ready-to-eat, KELLOGG'S SPECIAL K Chocolatey Delight",6.5,7.3,81.2,29.9,10.6,725
Poultry Products,"Chicken, broilers or fryers, wing, meat only, cooked, rotisserie, original seasoning",27.69,9.53,0,0,0,11
Poultry Products,"Duck, young duckling, domesticated, White Pekin, breast, meat and skin, boneless, cooked, roasted",24.5,10.85,0,0,0,0
Vegetables and Vegetable Products,"Vegetables, mixed, frozen, cooked, boiled, drained, with salt",2.86,0.15,13.09,3.12,4.4,214
Poultry Products,"Chicken, broilers or fryers, light meat, meat and skin, cooked, roasted",29.02,10.85,0,0,0,33
Poultry Products,"Turkey, enhanced, dark meat from whole, meat and skin, cooked, roasted",25.55,10.81,0,0,0,16
Breakfast Cereals,"Cereals ready-to-eat, KELLOGG, KELLOGG'S MUESLIX",9,5.4,75.19,25.5,8.3,167
Fruits and Fruit Juices,"Blackberries, frozen, unsweetened",1.18,0.43,15.67,10.67,5,6
Poultry Products,"Chicken, broilers or fryers, leg, meat and skin, cooked, stewed",24.17,12.92,0,0,0,37
Breakfast Cereals,"Cereals ready-to-eat, QUAKER, Oatmeal Squares",11.38,4.83,77.77,16.69,8.3,356
Poultry Products,"Chicken, broilers or fryers, light meat, meat and skin, cooked, stewed",26.14,9.97,0,0,0,29
Breakfast Cereals,"Cereals ready-to-eat, KELLOGG, KELLOGG'S ALL-BRAN COMPLETE Wheat Flakes",10.2,2.5,81.6,18.8,17.3,776
Poultry Products,"Turkey, drumstick, smoked, cooked, with skin, bone removed",27.9,9.8,0,0,0,0
Breakfast Cereals,"Cereals ready-to-eat, POST Bran Flakes",9.9,2.1,80.5,18.6,18.3,749
Breakfast Cereals,"Cereals ready-to-eat, GENERAL MILLS, BERRY BERRY KIX",6.19,4.19,83.9,21,5.8,433
Poultry Products,"Chicken, broilers or fryers, thigh, meat and skin, cooked, rotisserie, original seasoning",22.93,15.7,0.02,0.02,0,21
Vegetables and Vegetable Products,"Corn, sweet, yellow, canned, no salt added, solids and liquids",1.95,0.77,13.86,3.18,1.7,2
Breakfast Cereals,"Cereals ready-to-eat, GENERAL MILLS, APPLE CINNAMON CHEERIOS",7.6,5.7,81.3,34.2,6.5,497
Breakfast Cereals,"Cereals ready-to-eat, POST, GREAT GRAINS, Raisin, Date & Pecan",7.9,7.1,74.3,24.1,9.3,407
Poultry Products,"Chicken, broiler, rotisserie, BBQ, thigh, meat only",24.09,10.74,0,0,0,13
Vegetables and Vegetable Products,"Peas and onions, frozen, cooked, boiled, drained, with salt",2.54,0.2,8.63,3.77,2.2,53
Fruits and Fruit Juices,"Oranges, raw, Florida",0.7,0.21,11.54,9.14,2.4,11
Fruits and Fruit Juices,"Figs, canned, heavy syrup pack, solids and liquids",0.38,0.1,22.9,20.7,2.2,2
Breakfast Cereals,"Cereals ready-to-eat, GENERAL MILLS, COUNT CHOCULA",5.4,4.69,84.5,33.09,5,526
Breakfast Cereals,"Cereals ready-to-eat, GENERAL MILLS, FROSTED CHEERIOS",8.1,4.2,81.7,32.1,6.4,554
Vegetables and Vegetable Products,"Cabbage, red, raw",1.43,0.16,7.37,3.83,2.1,56
Breakfast Cereals,"Cereals, oats, instant, fortified, maple and brown sugar, dry",9.25,4.73,76.67,30.28,7.2,692
Vegetables and Vegetable Products,"Mushrooms, maitake, raw",1.94,0.19,6.97,2.07,2.7,0
Fruits and Fruit Juices,"Persimmons, japanese, raw",0.58,0.19,18.59,12.53,3.6,81
Poultry Products,"Chicken, broilers or fryers, back, meat only, cooked, roasted",28.19,13.16,0,0,0,0
Breakfast Cereals,"Cereals ready-to-eat, QUAKER, Oatmeal Squares, cinnamon",11.23,4.88,78.09,16.67,8.7,354
Fruits and Fruit Juices,"Cherries, sweet, canned, pitted, heavy syrup, drained",0.73,0.21,21.07,16.18,2.3,12
Vegetables and Vegetable Products,"Pumpkin, canned, without salt",1.1,0.28,8.09,3.3,2.9,778
Breakfast Cereals,"Cereals ready-to-eat, GENERAL MILLS, LUCKY CHARMS",7.67,5.02,80.89,36.13,5,847
Poultry Products,"Chicken, roasting, meat and skin and giblets and neck, cooked, roasted",23.96,13.07,0.05,0,0,179
