alcohol (%v/v at 20°C),malic_acid (g/L),magnesium (mg/L),flavanoids (mg/L),nonflavanoid_phenols (mg/L),color_intensity (units),proline (mg/L),cultivator
14.23,1.71,127,3.06,0.28,5.64,1065,0
13.2,1.78,100,2.76,0.26,4.38,1050,0
13.16,2.36,101,3.24,0.3,5.68,1185,0
14.37,1.95,113,3.49,0.24,7.8,1480,0
13.24,2.59,118,2.69,0.39,4.32,735,0
14.2,1.76,112,3.39,0.34,6.75,1450,0
14.39,1.87,96,2.52,0.3,5.25,1290,0
14.06,2.15,121,2.51,0.31,5.05,1295,0
13.86,1.35,98,3.15,0.22,7.22,1045,0
14.1,2.16,105,3.32,0.22,5.75,1510,0
14.12,1.48,95,2.43,0.26,5,1280,0
13.75,1.73,89,2.76,0.29,5.6,1320,0
14.38,1.87,102,3.64,0.29,7.5,1547,0
13.63,1.81,112,2.91,0.3,7.3,1310,0
14.3,1.92,120,3.14,0.33,6.2,1280,0
13.83,1.57,115,3.4,0.4,6.6,1130,0
13.64,3.1,116,3.03,0.17,5.1,845,0
14.06,1.63,126,3.17,0.24,5.65,780,0
13.71,1.86,101,2.88,0.27,3.8,1035,0
13.5,1.81,96,2.61,0.28,3.52,845,0
13.39,1.77,93,2.94,0.34,4.8,1195,0
13.87,1.9,107,2.97,0.37,4.5,915,0
14.02,1.68,96,2.33,0.26,4.7,1035,0
13.73,1.5,101,3.25,0.29,5.7,1285,0
13.58,1.66,106,3.19,0.22,6.9,1515,0
13.68,1.83,104,2.69,0.42,3.84,990,0
13.51,1.8,110,2.53,0.29,4.2,1095,0
13.48,1.81,100,2.98,0.26,5.1,920,0
13.28,1.64,110,2.68,0.34,4.6,880,0
13.05,1.65,98,2.43,0.29,4.25,1105,0
13.07,1.5,98,2.64,0.28,3.7,1020,0
13.56,1.71,117,3.29,0.34,6.13,795,0
13.88,1.89,101,3.56,0.17,5.43,1095,0
13.05,1.77,107,3,0.28,5.04,885,0
13.9,1.68,101,3.39,0.21,6.1,985,0
14.1,2.02,103,2.92,0.32,6.2,1060,0
13.05,1.73,92,3.27,0.17,7.2,1150,0
13.83,1.65,94,2.99,0.22,5.6,1265,0
13.82,1.75,111,3.74,0.32,7.05,1190,0
13.77,1.9,115,2.79,0.39,6.3,1375,0
13.74,1.67,118,2.9,0.21,5.85,1060,0
13.56,1.73,116,2.78,0.2,6.25,1120,0
14.22,1.7,118,3,0.26,6.38,970,0
13.29,1.97,102,3.23,0.31,6,1270,0
13.72,1.43,108,3.67,0.19,6.8,1285,0
12.37,1.13,87,3.1,0.19,4.45,420,1
12.17,1.45,104,1.75,0.45,2.95,355,1
12.37,1.21,98,2.65,0.37,4.6,678,1
12.37,1.17,78,2,0.27,4.68,510,1
11.66,1.88,97,1.57,0.34,3.8,428,1
13.03,0.9,86,2.03,0.24,4.6,392,1
11.84,2.89,112,1.32,0.43,2.65,500,1
12.7,3.87,101,2.55,0.43,2.57,463,1
12,0.92,86,2.26,0.3,2.5,278,1
12.72,1.81,86,2.53,0.26,3.9,714,1
12.08,1.13,78,1.58,0.4,2.2,630,1
13.05,3.86,85,1.59,0.61,4.8,515,1
11.84,0.89,94,2.21,0.22,3.05,520,1
12.67,0.98,99,1.94,0.3,2.62,450,1
12.16,1.61,90,1.69,0.43,2.45,495,1
11.65,1.67,88,1.61,0.4,2.6,562,1
11.64,2.06,84,1.69,0.48,2.8,680,1
12.08,1.33,70,1.59,0.42,1.74,625,1
12.08,1.83,81,1.5,0.52,2.4,480,1
12,1.51,86,1.25,0.5,3.6,450,1
12.69,1.53,80,1.46,0.58,3.05,495,1
12.29,2.83,88,2.25,0.25,2.15,290,1
11.62,1.99,98,2.26,0.17,3.25,345,1
12.29,1.41,85,2.5,0.29,2.9,428,1
12.29,3.17,88,2.99,0.45,2.3,406,1
12.08,2.08,97,2.17,0.26,3.3,710,1
12.6,1.34,88,1.36,0.29,2.45,562,1
12.34,2.45,98,2.11,0.34,2.8,438,1
11.82,1.72,86,1.64,0.37,2.06,415,1
12.51,1.73,85,1.92,0.32,2.94,672,1
12.25,1.73,80,2.03,0.37,3.4,510,1
12.72,1.75,84,1.76,0.48,3.3,488,1
12.22,1.29,92,2.04,0.39,2.7,312,1
11.61,1.35,94,2.92,0.29,2.65,680,1
11.46,3.74,107,2.58,0.24,2.9,562,1
12.52,2.43,88,2.27,0.26,2,325,1
11.76,2.68,103,2.03,0.6,3.8,607,1
11.41,0.74,88,2.01,0.42,3.08,434,1
12.08,1.39,84,2.29,0.43,2.9,385,1
11.82,1.47,86,1.6,0.3,1.95,495,1
12.42,1.61,108,2.09,0.34,2.06,345,1
12.77,3.43,80,1.25,0.43,3.4,372,1
12,3.43,87,1.64,0.37,1.28,564,1
11.45,2.4,96,2.79,0.32,3.25,625,1
12.07,2.16,85,2.65,0.37,2.76,378,1
12.43,1.53,86,3.15,0.39,3.94,352,1
11.79,2.13,92,2.24,0.58,3,466,1
12.37,1.63,88,2.45,0.4,2.12,342,1
12.88,2.99,104,1.22,0.24,5.4,530,2
12.81,2.31,98,1.09,0.27,5.7,560,2
12.51,1.24,85,0.58,0.6,5.45,650,2
12.6,2.46,94,0.66,0.63,7.1,695,2
12.25,4.72,89,0.47,0.53,3.85,720,2
12.53,5.51,96,0.6,0.63,5,515,2
13.49,3.59,88,0.48,0.58,5.7,580,2
12.84,2.96,101,0.6,0.53,4.92,590,2
12.93,2.81,96,0.5,0.53,4.6,600,2
13.36,2.56,89,0.5,0.37,5.6,780,2
13.52,3.17,97,0.52,0.5,4.35,520,2
13.62,4.95,92,0.8,0.47,4.4,550,2
12.25,3.88,112,0.78,0.29,8.21,855,2
13.16,3.57,102,0.55,0.43,4,830,2
13.88,5.04,80,0.34,0.4,4.9,415,2
12.87,4.61,86,0.65,0.47,7.65,625,2
13.32,3.24,92,0.76,0.45,8.42,650,2
13.23,3.3,98,0.83,0.61,10.52,675,2
12.58,1.29,103,0.58,0.53,7.6,640,2
13.17,5.19,93,0.63,0.61,7.9,725,2
13.84,4.12,89,0.83,0.48,9.01,480,2
12.36,3.83,88,0.92,0.5,7.65,520,2
13.69,3.26,107,0.56,0.5,5.88,680,2
12.85,3.27,106,0.6,0.6,5.58,570,2
12.96,3.45,106,0.7,0.4,5.28,675,2
13.78,2.76,90,0.68,0.41,9.58,615,2
13.73,4.36,88,0.47,0.52,6.62,520,2
13.45,3.7,111,0.92,0.43,10.68,695,2
12.82,3.37,88,0.66,0.4,10.26,685,2
13.58,2.58,105,0.84,0.39,8.66,750,2
13.4,4.6,112,0.96,0.27,8.5,630,2
12.2,3.03,96,0.49,0.4,5.5,510,2
12.77,2.39,86,0.51,0.48,9.899999,470,2
14.16,2.51,91,0.7,0.44,9.7,660,2
13.4,3.91,102,0.75,0.43,7.3,750,2
13.27,4.28,120,0.69,0.43,10.2,835,2
13.17,2.59,120,0.68,0.53,9.3,840,2
14.13,4.1,96,0.76,0.56,9.2,560,2
